Job_ID,Memory_Efficiency_Percent
24757758_101,47.69
24757758_102,48.92
24757758_103,47.56
24757758_104,48.74
24757758_105,48.53
24757758_106,47.89
24757758_107,48.06
24757758_108,46.89
24757758_109,47.81
24757758_110,47.41
24757758_111,49.01
24757758_112,48.36
24757758_113,48.82
24757758_114,49.64
24757758_115,48.45
24757758_116,48.16
24757758_117,49.08
24757758_118,48.94
24757758_119,48.34
24757758_120,48.99
24757758_121,49.11
24757758_122,53.15
24757758_123,48.78
24757758_124,49.64
24757758_125,48.89
24757758_126,48.11
24757758_127,50.00
24757758_128,49.56
24757758_129,47.72
24757758_130,48.78
24757758_131,49.20
24757758_132,49.84
24757758_133,50.51
24757758_134,48.08
24757758_135,47.69
24757758_136,51.25
24757758_137,47.11
24757758_138,47.81
24757758_139,46.87
24757758_140,48.43
24757758_141,47.25
24757758_142,48.79
24757758_143,47.24
24757758_144,48.94
24757758_145,48.36
24757758_146,47.77
24757758_147,47.85
24757758_148,47.83
24757758_149,47.58
24757758_150,49.86
24757758_151,47.32
24757758_152,48.27
24757758_153,48.80
24757758_154,48.71
24757758_155,47.73
24757758_156,46.83
24757758_157,47.47
24757758_158,49.04
24757758_159,48.38
24757758_160,47.11
24757758_161,48.17
24757758_162,48.25
24757758_163,47.00
24757758_164,46.46
24757758_165,49.30
24757758_166,49.42
24757758_167,47.25
24757758_168,48.22
24757758_169,49.45
24757758_170,47.31
24757758_171,47.79
24757758_172,47.93
24757758_173,46.65
