Job_ID,Memory_Efficiency_Percent
25173796_101,77.64
25173796_102,79.40
25173796_103,79.33
25173796_104,80.86
25173796_105,78.71
25173796_106,79.68
25173796_107,78.90
25173796_108,77.51
25173796_109,80.22
25173796_110,78.80
25173796_111,81.60
25173796_112,78.41
25173796_113,78.91
25173796_114,79.52
25173796_115,79.11
25173796_116,78.17
25173796_117,79.15
25173796_118,79.53
25173796_119,79.57
25173796_120,79.48
25173796_121,79.56
25173796_122,83.79
25173796_123,77.91
25173796_124,81.78
25173796_125,81.20
25173796_126,78.15
25173796_127,82.33
25173796_128,80.44
25173796_129,77.51
25173796_130,78.29
25173796_131,78.53
25173796_132,79.19
25173796_133,81.07
25173796_134,77.76
25173796_135,77.61
25173796_136,81.75
25173796_137,75.24
25173796_138,77.73
25173796_139,76.55
25173796_140,79.43
25173796_141,76.81
25173796_142,78.96
25173796_143,78.18
25173796_144,77.89
25173796_145,75.71
25173796_146,77.65
25173796_147,77.70
25173796_148,76.14
25173796_149,77.14
25173796_150,79.03
25173796_151,77.96
25173796_152,76.98
25173796_153,79.07
25173796_154,76.91
25173796_155,75.04
25173796_156,77.63
25173796_157,76.33
25173796_158,78.52
25173796_159,75.58
25173796_160,75.32
25173796_161,75.05
25173796_162,75.03
25173796_163,75.36
25173796_164,74.84
25173796_165,77.14
25173796_166,79.14
25173796_167,77.52
25173796_168,76.19
25173796_169,80.37
25173796_170,77.47
25173796_171,77.30
25173796_172,77.25
25173796_173,76.10
