Job_ID,Memory_Efficiency_Percent
25096241_201,63.85
25096241_202,65.84
25096241_203,65.19
25096241_204,65.56
25096241_205,65.22
25096241_206,65.40
25096241_207,64.98
25096241_208,63.66
25096241_209,66.12
25096241_210,63.63
25096241_211,66.87
25096241_212,64.83
25096241_213,66.26
25096241_214,67.41
25096241_215,64.85
25096241_216,66.12
25096241_217,65.90
25096241_218,66.23
25096241_219,65.36
25096241_220,65.43
25096241_221,64.74
25096241_222,70.69
25096241_223,65.55
25096241_224,68.73
25096241_225,68.66
25096241_226,64.47
25096241_227,67.93
25096241_228,66.48
25096241_229,64.80
25096241_230,65.95
25096241_231,66.82
25096241_232,65.48
25096241_233,68.91
25096241_234,65.37
25096241_235,65.47
25096241_236,69.33
25096241_237,65.80
25096241_238,64.82
25096241_239,62.21
25096241_240,67.14
25096241_241,63.70
25096241_242,66.05
25096241_243,64.62
25096241_244,66.05
25096241_245,66.29
25096241_246,64.87
25096241_247,66.03
25096241_248,65.83
25096241_249,65.61
25096241_250,66.31
25096241_251,64.89
25096241_252,66.16
25096241_253,66.53
25096241_254,66.84
25096241_255,40.70
25096241_256,40.62
25096241_257,40.76
25096241_258,65.56
25096241_259,65.71
25096241_260,65.94
25096241_261,39.93
25096241_262,39.86
25096241_263,40.00
25096241_264,64.39
25096241_265,40.93
25096241_266,65.02
25096241_267,39.94
25096241_268,39.94
25096241_269,67.70
25096241_270,65.21
25096241_271,40.63
25096241_272,40.94
25096241_273,39.89
