# DOE ARM Utqiagvik seasonal cloud hours -- GENIE'S EXACT NUMBERS, ver2
# ============================================================================
#
# GENERATED by build_genie_seasonal_hours.py from the files under
# genie_obs_source/ -- edit those and re-run, do not edit this file.
#
# Sources, all supplied by Genie Lorenzo Pearson, under
#   ~/Documents/Scripps - UCSD/Ocean Visions/Genie Lorenzo Pearson/
#
#   with_liquid  liquid_containing_clouds_yearly_totals_ver2.csv  (2026-09-16)
#   ice_only     ice_only_clouds_yearly_totals_ver2.csv           (2026-09-16)
#   liq_precip, ice_precip, clear_sky, others
#                liquid-containing-clouds-total-hours-per-season.csv (2026-09-01)
#
# The ver2 files are COUNTS of 30 s samples; they are divided by 120 here.
# They correct the 2026-09-01 table, which had left mixed-phase counts in
# the ice-only category. In her words: "with liquid counts (including
# liquid and mixed phase clouds)"; "ice counts (including only ice, no
# liquid or mixed phase)". Both are NON-precipitating categories: for every
# season, ver2 liquid + ice equals the original With Liquid + Ice Only to
# within 1 h (checked on build), so the correction moved hours
# between those two rows and touched nothing else. The precipitating,
# clear-sky and others rows are therefore carried over from the original
# table unchanged. That is inferred from the numbers -- the precipitating
# categories were not re-supplied.
#
# Record means (all 11 seasons):
#   with_liquid 1688.5 | ice_only 857.0
#   liq_precip 282.0 | ice_precip 255.4
#   clear_sky 897.7 | others 35.8
#   missing 358.1
#
# SEASON LABELLING
# The original CSV's columns are headed '2014/15' .. '2024/25'; the ver2
# files index seasons 0..10 in the same order. This file uses the START
# year to match the ERA5 side, so '2014/15' is written as 2014.
#
# THE 'missing' COLUMN IS DERIVED, NOT SUPPLIED
#     missing = season window - (the six supplied categories)
# with a LEAP-AWARE window: Oct 1 - Mar 31 is 182 days, or 183 when the
# ending year is a leap year (2015/16, 2019/20, 2023/24). It only drives the
# 'incomplete season' flag (5% of the window), never a plotted
# quantity. The incomplete seasons are unchanged by ver2: 2016/17, 2019/20
# and 2020/21.
#
# Hours are per season for the single ARM site.
# ---------------------------------------------------------------------------
# season  with_liquid  ice_only  liq_precip  ice_precip  clear_sky  others  missing
2014         1619.35   1182.72         390         266        899    0.00    10.93
2015         2162.78    931.89         242         171        717    0.00   167.33
2016         1703.88    821.91         165         156        739   81.00   701.22
2017         1723.50    727.58         406         435       1026   20.00    29.93
2018         1584.67    802.69         226         330       1404   11.00     9.64
2019         1527.76    789.65         275         190        806    0.00   803.59
2020          962.47    712.52          64          63        570   22.00  1974.02
2021         1694.86    915.33         261         321       1117   33.00    25.81
2022         1845.87    863.33         335         329        698  103.00   193.81
2023         1768.08   1000.82         341         333        803  124.00    22.11
2024         1980.78    678.05         397         215       1096    0.00     1.18
