# DOE ARM Utqiagvik seasonal cloud hours -- GENIE'S EXACT NUMBERS, ver3 liquid
# ============================================================================
#
# GENERATED by build_genie_seasonal_hours.py from the files under
# genie_obs_source/ -- edit those and re-run, do not edit this file.
#
# THE SAME TABLE AS genie_arm_seasonal_hours.txt, with one row replaced:
#
#   with_liquid  liquid_containing_clouds_yearly_totals_noPrecip_
#                lwp_greaterThan0_ver3.csv                        (2026-09-21)
#
# ver3 is the non-precipitating liquid-containing category with the
# retrievals of LWP <= 0 removed. It is LOWER than ver2 in every season, by
# 386 h on average (13-32% per season):
#
#   record mean with_liquid   ver2 1688.5 h  ->  ver3 1303.0 h
#   mean over the 8 complete seasons  1797.5 h  ->  1392.3 h
#
# Every other row is ver2's, since only the liquid category was re-supplied.
#
# THE REMOVED HOURS ARE IN 'others', NOT IN 'missing'. They were observed --
# the instrument saw cloud and the retrieval returned a non-positive liquid
# path -- so they are not downtime. Adding them to others keeps the
# six-category sum, and with it the derived missing column and the
# incomplete-season flags (2016/17, 2019/20, 2020/21), identical to the ver2
# table. That placement is an INFERENCE: Genie re-supplied the liquid
# category alone, and some of those hours might be ice-only under her
# classification. Nothing plotted reads 'others'.
#
# Record means (all 11 seasons):
#   with_liquid 1303.0 | ice_only 857.0
#   liq_precip 282.0 | ice_precip 255.4
#   clear_sky 897.7 | others 421.4
#   missing 358.1
#
# Hours are per season for the single ARM site; seasons are START years.
# ---------------------------------------------------------------------------
# season  with_liquid  ice_only  liq_precip  ice_precip  clear_sky  others  missing
2014         1226.82   1182.72         390         266        899  392.53    10.93
2015         1874.88    931.89         242         171        717  287.90   167.33
2016         1238.27    821.91         165         156        739  546.61   701.22
2017         1309.60    727.58         406         435       1026  433.90    29.92
2018         1084.05    802.69         226         330       1404  511.62     9.64
2019         1204.81    789.65         275         190        806  322.95   803.59
2020          751.64    712.52          64          63        570  232.83  1974.02
2021         1356.02    915.33         261         321       1117  371.84    25.81
2022         1460.10    863.33         335         329        698  488.77   193.81
2023         1285.17   1000.82         341         333        803  606.91    22.11
2024         1541.45    678.05         397         215       1096  439.33     1.18
