Epoch   0 | Train: -4.590109 | Val: -4.142932 | Phys: 0.020964 | LR: 1.0e-03
Epoch  10 | Train: -7.217100 | Val: 20.845785 | Phys: 0.159472 | LR: 9.0e-04
Epoch  20 | Train: -7.949676 | Val: 41.592702 | Phys: 0.212478 | LR: 6.5e-04
Epoch  30 | Train: -8.510546 | Val: 69.582079 | Phys: 0.270853 | LR: 3.5e-04
Epoch  40 | Train: -8.829593 | Val: 81.009456 | Phys: 0.278185 | LR: 9.6e-05
Epoch  50 | Train: -8.951304 | Val: 110.883763 | Phys: 0.285544 | LR: 1.0e-03
Epoch  60 | Train: -8.373005 | Val: 49.418705 | Phys: 0.230478 | LR: 9.8e-04
Epoch  70 | Train: -8.641754 | Val: 94.823098 | Phys: 0.261870 | LR: 9.0e-04
Epoch  80 | Train: -9.014499 | Val: 62.706425 | Phys: 0.277189 | LR: 7.9e-04
Epoch  90 | Train: -9.226601 | Val: 129.437269 | Phys: 0.272597 | LR: 6.5e-04
Epoch 100 | Train: -9.504135 | Val: 253.852757 | Phys: 0.301749 | LR: 5.0e-04
Epoch 110 | Train: -9.687398 | Val: 303.135587 | Phys: 0.283852 | LR: 3.5e-04
Epoch 120 | Train: -9.881128 | Val: 314.719670 | Phys: 0.285464 | LR: 2.1e-04
Epoch 130 | Train: -10.013040 | Val: 457.704855 | Phys: 0.299558 | LR: 9.6e-05
Epoch 140 | Train: -10.096918 | Val: 503.034848 | Phys: 0.290070 | LR: 2.5e-05
Epoch 150 | Train: -10.116024 | Val: 503.857582 | Phys: 0.289594 | LR: 1.0e-03
Epoch 160 | Train: -9.444667 | Val: 94.508227 | Phys: 0.270461 | LR: 9.9e-04
Epoch 170 | Train: -9.546174 | Val: 101.248018 | Phys: 0.255696 | LR: 9.8e-04
Epoch 180 | Train: -9.873638 | Val: 199.814989 | Phys: 0.273014 | LR: 9.5e-04
Epoch 190 | Train: -9.733065 | Val: 229.875994 | Phys: 0.264028 | LR: 9.0e-04
Epoch 200 | Train: -9.965721 | Val: 373.660739 | Phys: 0.288450 | LR: 8.5e-04
Epoch 210 | Train: -10.160828 | Val: 402.028594 | Phys: 0.288357 | LR: 7.9e-04
Epoch 220 | Train: -10.220430 | Val: 420.199589 | Phys: 0.278312 | LR: 7.3e-04
Epoch 230 | Train: -10.368115 | Val: 510.228174 | Phys: 0.286586 | LR: 6.5e-04
Epoch 240 | Train: -10.421225 | Val: 493.601340 | Phys: 0.279679 | LR: 5.8e-04
Epoch 250 | Train: -10.523672 | Val: 499.717387 | Phys: 0.288233 | LR: 5.0e-04
Epoch 260 | Train: -10.625296 | Val: 560.596442 | Phys: 0.293454 | LR: 4.2e-04
Epoch 270 | Train: -10.650684 | Val: 673.287821 | Phys: 0.287976 | LR: 3.5e-04
Epoch 280 | Train: -10.681408 | Val: 692.087514 | Phys: 0.299605 | LR: 2.7e-04
Epoch 290 | Train: -10.753781 | Val: 657.396861 | Phys: 0.292312 | LR: 2.1e-04
Epoch 300 | Train: -10.793967 | Val: 714.520672 | Phys: 0.299917 | LR: 1.5e-04
Epoch 310 | Train: -10.823321 | Val: 788.531808 | Phys: 0.296331 | LR: 9.6e-05
Epoch 320 | Train: -10.844979 | Val: 767.756089 | Phys: 0.298731 | LR: 5.5e-05
Epoch 330 | Train: -10.856586 | Val: 834.072688 | Phys: 0.298663 | LR: 2.5e-05
Epoch 340 | Train: -10.865336 | Val: 814.876648 | Phys: 0.297310 | LR: 7.1e-06
Epoch 350 | Train: -10.869445 | Val: 816.351467 | Phys: 0.298891 | LR: 1.0e-03
Epoch 360 | Train: -10.366631 | Val: 347.688980 | Phys: 0.270045 | LR: 1.0e-03
Epoch 370 | Train: -10.523947 | Val: 776.365368 | Phys: 0.315185 | LR: 9.9e-04
Epoch 380 | Train: -10.238376 | Val: 501.968891 | Phys: 0.292501 | LR: 9.9e-04
Epoch 390 | Train: -10.067329 | Val: 740.381606 | Phys: 0.297052 | LR: 9.8e-04

Best validation loss: -4.191434
