======================================================================
  STANDALONE TRAIN — synthetic, variant M0, hyperparameters from run_004
======================================================================
  sweep summary : /projects/anbu8374/Python-Research/lasp-CU-paper-3/hyper_parameter_sweep/sweep_results_profile_only_synthetic_M0/run_004/summary.json
  HDF5 file     : /gpfs/alpine1/scratch/anbu8374/neural_network_training_data/synthetic_training_data_7-levels_8_May_2026.h5
  output dir    : /projects/anbu8374/Python-Research/lasp-CU-paper-3/standalone_results_profile_only_synthetic/M0_run004_synthetic_training_data_7-levels_8_May_2026
  device        : cuda

  Network input layout: 636 reflectance ⊕ 4 geometry (sza, vza, saz, vaz) ⊕ 3 extras = 643
  Extras status: tau_c=ZEROED | wv_above=ZEROED | wv_in=ZEROED
  Split sizes  : n_val=4199, n_test=4199 (profile-aware)

  Hyperparameters being reused:
    hidden_dims            = [512, 512, 256, 256]
    activation             = gelu
    dropout                = 0.2637
    learning_rate          = 2.764011372868257e-05
    lambda_physics         = 0.0295
    lambda_monotonicity    = 0.0621
    lambda_adiabatic       = 0.1698
    lambda_smoothness      = 0.1654
    level_weights          = [5.199148273471455, 3.754462633346129, 3.01285889763222, 2.7850412811874383, 3.01285889763222, 3.754462633346129, 5.199148273471455]
    level_weights_name     = u_shape
    batch_size             = 128
    augment_noise_std      = 0.0032
    n_epochs               = 2500
    scheduler_patience     = 30
    early_stop_patience    = 150
    warmup_steps           = 500
    weight_decay           = 0.0001
    sigma_floor            = 0.01

  Split mode: profile-held-out (extras dataset, x dim = 643)
  Val profiles (never in train):  4199
  Test profiles (never in train): 4199
  Ablation: zeroing channel(s) ['tau_c', 'wv_above_cloud', 'wv_in_cloud'] (z-score 0 = no info beyond mean)
Profile grid: 7 levels (read from HDF5)
Model: 796,174 parameters  (input_dim=640 + n_extras=3 = 643)

Training up to 2500 epochs (early-stop patience=150, warmup_steps=500, augment_noise_std=0.0032)
----------------------------------------------------------------------
Epoch    1 | Train:  0.1763 | Val: -1.1945 | LR: 1.5e-05 | No-improve: 0
Epoch    2 | Train: -1.4629 | Val: -2.3972 | LR: 2.8e-05 | No-improve: 0
Epoch    3 | Train: -2.2841 | Val: -2.7699 | LR: 2.8e-05 | No-improve: 0
Epoch    4 | Train: -2.4864 | Val: -2.9258 | LR: 2.8e-05 | No-improve: 0
Epoch    5 | Train: -2.5727 | Val: -2.9432 | LR: 2.8e-05 | No-improve: 0
Epoch    6 | Train: -2.6387 | Val: -3.0244 | LR: 2.8e-05 | No-improve: 0
Epoch    7 | Train: -2.6899 | Val: -3.0058 | LR: 2.8e-05 | No-improve: 1
Epoch    8 | Train: -2.7312 | Val: -3.0761 | LR: 2.8e-05 | No-improve: 0
Epoch    9 | Train: -2.7696 | Val: -3.1049 | LR: 2.8e-05 | No-improve: 0
Epoch   10 | Train: -2.8030 | Val: -3.0961 | LR: 2.8e-05 | No-improve: 1
Epoch   11 | Train: -2.8307 | Val: -3.1182 | LR: 2.8e-05 | No-improve: 0
Epoch   12 | Train: -2.8527 | Val: -3.1350 | LR: 2.8e-05 | No-improve: 0
Epoch   13 | Train: -2.8800 | Val: -3.1055 | LR: 2.8e-05 | No-improve: 1
Epoch   14 | Train: -2.8948 | Val: -3.1314 | LR: 2.8e-05 | No-improve: 2
Epoch   15 | Train: -2.9154 | Val: -3.1413 | LR: 2.8e-05 | No-improve: 0
Epoch   16 | Train: -2.9270 | Val: -3.1524 | LR: 2.8e-05 | No-improve: 0
Epoch   17 | Train: -2.9370 | Val: -3.1620 | LR: 2.8e-05 | No-improve: 0
Epoch   18 | Train: -2.9525 | Val: -3.1643 | LR: 2.8e-05 | No-improve: 0
Epoch   19 | Train: -2.9595 | Val: -3.1698 | LR: 2.8e-05 | No-improve: 0
Epoch   20 | Train: -2.9734 | Val: -3.1588 | LR: 2.8e-05 | No-improve: 1
Epoch   21 | Train: -2.9786 | Val: -3.1253 | LR: 2.8e-05 | No-improve: 2
Epoch   22 | Train: -2.9884 | Val: -3.1444 | LR: 2.8e-05 | No-improve: 3
Epoch   23 | Train: -2.9927 | Val: -3.1631 | LR: 2.8e-05 | No-improve: 4
Epoch   24 | Train: -3.0015 | Val: -3.1780 | LR: 2.8e-05 | No-improve: 0
Epoch   25 | Train: -3.0046 | Val: -3.1860 | LR: 2.8e-05 | No-improve: 0
Epoch   26 | Train: -3.0135 | Val: -3.1714 | LR: 2.8e-05 | No-improve: 1
Epoch   27 | Train: -3.0171 | Val: -3.1735 | LR: 2.8e-05 | No-improve: 2
Epoch   28 | Train: -3.0224 | Val: -3.1872 | LR: 2.8e-05 | No-improve: 0
Epoch   29 | Train: -3.0280 | Val: -3.1644 | LR: 2.8e-05 | No-improve: 1
Epoch   30 | Train: -3.0352 | Val: -3.1811 | LR: 2.8e-05 | No-improve: 2
