======================================================================
  STANDALONE TRAIN — synthetic, variant M0, hyperparameters from run_098
======================================================================
  sweep summary : /projects/anbu8374/Python-Research/lasp-CU-paper-3/hyper_parameter_sweep/sweep_results_profile_only_synthetic_M0/run_098/summary.json
  HDF5 file     : /gpfs/alpine1/scratch/anbu8374/neural_network_training_data/synthetic_training_data_7-levels_8_May_2026.h5
  output dir    : /projects/anbu8374/Python-Research/lasp-CU-paper-3/standalone_results_profile_only_synthetic/M0_run098_synthetic_training_data_7-levels_8_May_2026_atest
  device        : cuda

  Network input layout: 636 reflectance ⊕ 4 geometry (sza, vza, saz, vaz) ⊕ 3 extras = 643
  Extras status: tau_c=ZEROED | wv_above=ZEROED | wv_in=ZEROED
  Split sizes  : n_val=4199, n_test=4199 (profile-aware)

  Hyperparameters being reused:
    hidden_dims            = [512, 512, 256, 256]
    activation             = gelu
    dropout                = 0.1946
    learning_rate          = 7.970971212070194e-05
    lambda_physics         = 0.0065
    lambda_monotonicity    = 0.1779
    lambda_adiabatic       = 0.063
    lambda_smoothness      = 0.1639
    level_weights          = [5.199148273471455, 3.754462633346129, 3.01285889763222, 2.7850412811874383, 3.01285889763222, 3.754462633346129, 5.199148273471455]
    level_weights_name     = u_shape
    batch_size             = 128
    augment_noise_std      = 0.0208
    n_epochs               = 2500
    scheduler_patience     = 30
    early_stop_patience    = 150
    warmup_steps           = 500
    weight_decay           = 0.0001
    sigma_floor            = 0.01

======================================================================
  K-FOLD MODE — full coverage, K = 20
======================================================================
  n_total = 41991,  fold_size ≈ 2099, n_val per fold = 4199

[Fold 1/20]  train 35,692  val 4,199  test 2,100  → /projects/anbu8374/Python-Research/lasp-CU-paper-3/standalone_results_profile_only_synthetic/M0_run098_synthetic_training_data_7-levels_8_May_2026_atest/fold_01
  Epoch    1 | Train -1.0238 | Val -2.3797 | LR 4.4e-05 | NoImp 0
  Epoch    2 | Train -2.5116 | Val -2.8492 | LR 8.0e-05 | NoImp 0
  Epoch    3 | Train -2.7185 | Val -3.0279 | LR 8.0e-05 | NoImp 0
  Epoch   25 | Train -3.1150 | Val -3.1528 | LR 8.0e-05 | NoImp 1
  Epoch   50 | Train -3.1692 | Val -3.1950 | LR 8.0e-05 | NoImp 6
  Epoch   75 | Train -3.1949 | Val -3.2647 | LR 8.0e-05 | NoImp 1
  Epoch  100 | Train -3.2090 | Val -3.2732 | LR 8.0e-05 | NoImp 14
  Epoch  125 | Train -3.2255 | Val -3.2876 | LR 8.0e-05 | NoImp 14
  Epoch  150 | Train -3.2405 | Val -3.2776 | LR 8.0e-05 | NoImp 11
  Epoch  175 | Train -3.2463 | Val -3.2952 | LR 8.0e-05 | NoImp 5
  Epoch  200 | Train -3.2530 | Val -3.2653 | LR 8.0e-05 | NoImp 30
  Epoch  225 | Train -3.2731 | Val -3.3159 | LR 4.0e-05 | NoImp 2
  Epoch  250 | Train -3.2762 | Val -3.3266 | LR 4.0e-05 | NoImp 23
  Epoch  275 | Train -3.2805 | Val -3.3385 | LR 4.0e-05 | NoImp 10
  Epoch  300 | Train -3.2841 | Val -3.3204 | LR 4.0e-05 | NoImp 12
  Epoch  325 | Train -3.2922 | Val -3.3294 | LR 4.0e-05 | NoImp 7
  Epoch  350 | Train -3.2922 | Val -3.3375 | LR 4.0e-05 | NoImp 19
  Epoch  375 | Train -3.3024 | Val -3.3485 | LR 2.0e-05 | NoImp 9
  Epoch  400 | Train -3.3052 | Val -3.3489 | LR 2.0e-05 | NoImp 4
  Epoch  425 | Train -3.3055 | Val -3.3530 | LR 2.0e-05 | NoImp 29
  Epoch  450 | Train -3.3106 | Val -3.3558 | LR 1.0e-05 | NoImp 18
  Epoch  475 | Train -3.3109 | Val -3.3552 | LR 1.0e-05 | NoImp 1
