======================================================================
  STANDALONE TRAIN — synthetic, variant M0, hyperparameters from run_098
======================================================================
  sweep summary : /projects/anbu8374/Python-Research/lasp-CU-paper-3/hyper_parameter_sweep/sweep_results_profile_only_synthetic_M0/run_098/summary.json
  HDF5 file     : /gpfs/alpine1/scratch/anbu8374/neural_network_training_data/synthetic_training_data_7-levels_8_May_2026.h5
  output dir    : /projects/anbu8374/Python-Research/lasp-CU-paper-3/standalone_results_profile_only_synthetic/M0_run098_synthetic_training_data_7-levels_8_May_2026_atest
  device        : cuda

  Network input layout: 636 reflectance ⊕ 4 geometry (sza, vza, saz, vaz) ⊕ 3 extras = 643
  Extras status: tau_c=ZEROED | wv_above=ZEROED | wv_in=ZEROED
  Split sizes  : n_val=4199, n_test=4199 (profile-aware)

  Hyperparameters being reused:
    hidden_dims            = [512, 512, 256, 256]
    activation             = gelu
    dropout                = 0.1946
    learning_rate          = 7.970971212070194e-05
    lambda_physics         = 0.0065
    lambda_monotonicity    = 0.1779
    lambda_adiabatic       = 0.063
    lambda_smoothness      = 0.1639
    level_weights          = [5.199148273471455, 3.754462633346129, 3.01285889763222, 2.7850412811874383, 3.01285889763222, 3.754462633346129, 5.199148273471455]
    level_weights_name     = u_shape
    batch_size             = 128
    augment_noise_std      = 0.0208
    n_epochs               = 1500
    scheduler_patience     = 30
    early_stop_patience    = 150
    warmup_steps           = 500
    weight_decay           = 0.0001
    sigma_floor            = 0.01

  Split mode: profile-held-out (extras dataset, x dim = 643)
  Val profiles (never in train):  4199
  Test profiles (never in train): 4199
  Ablation: zeroing channel(s) ['tau_c', 'wv_above_cloud', 'wv_in_cloud'] (z-score 0 = no info beyond mean)
Profile grid: 7 levels (read from HDF5)
Model: 796,174 parameters  (input_dim=640 + n_extras=3 = 643)

Training up to 1500 epochs (early-stop patience=150, warmup_steps=500, augment_noise_std=0.0208)
----------------------------------------------------------------------
Epoch    1 | Train: -0.9588 | Val: -2.2913 | LR: 4.2e-05 | No-improve: 0
Epoch    2 | Train: -2.4777 | Val: -2.9580 | LR: 8.0e-05 | No-improve: 0
Epoch    3 | Train: -2.7212 | Val: -3.0518 | LR: 8.0e-05 | No-improve: 0
Epoch    4 | Train: -2.8021 | Val: -3.0801 | LR: 8.0e-05 | No-improve: 0
Epoch    5 | Train: -2.8644 | Val: -3.0953 | LR: 8.0e-05 | No-improve: 0
Epoch    6 | Train: -2.9121 | Val: -3.1388 | LR: 8.0e-05 | No-improve: 0
Epoch    7 | Train: -2.9447 | Val: -3.1164 | LR: 8.0e-05 | No-improve: 1
Epoch    8 | Train: -2.9659 | Val: -3.1594 | LR: 8.0e-05 | No-improve: 0
Epoch    9 | Train: -2.9880 | Val: -3.1566 | LR: 8.0e-05 | No-improve: 1
Epoch   10 | Train: -3.0042 | Val: -3.1519 | LR: 8.0e-05 | No-improve: 2
Epoch   11 | Train: -3.0196 | Val: -3.1551 | LR: 8.0e-05 | No-improve: 3
Epoch   12 | Train: -3.0261 | Val: -3.0040 | LR: 8.0e-05 | No-improve: 4
Epoch   13 | Train: -3.0307 | Val: -3.1662 | LR: 8.0e-05 | No-improve: 0
Epoch   14 | Train: -3.0424 | Val: -3.0946 | LR: 8.0e-05 | No-improve: 1
Epoch   15 | Train: -3.0529 | Val: -3.1806 | LR: 8.0e-05 | No-improve: 0
Epoch   16 | Train: -3.0597 | Val: -3.1940 | LR: 8.0e-05 | No-improve: 0
Epoch   17 | Train: -3.0675 | Val: -3.1923 | LR: 8.0e-05 | No-improve: 1
Epoch   18 | Train: -3.0785 | Val: -3.1857 | LR: 8.0e-05 | No-improve: 2
Epoch   19 | Train: -3.0797 | Val: -3.1834 | LR: 8.0e-05 | No-improve: 3
Epoch   20 | Train: -3.0883 | Val: -3.1616 | LR: 8.0e-05 | No-improve: 4
Epoch   21 | Train: -3.0918 | Val: -3.2053 | LR: 8.0e-05 | No-improve: 0
Epoch   22 | Train: -3.0925 | Val: -3.2086 | LR: 8.0e-05 | No-improve: 0
Epoch   23 | Train: -3.0999 | Val: -3.1961 | LR: 8.0e-05 | No-improve: 1
Epoch   24 | Train: -3.1021 | Val: -3.2106 | LR: 8.0e-05 | No-improve: 0
Epoch   25 | Train: -3.1045 | Val: -3.2190 | LR: 8.0e-05 | No-improve: 0
Epoch   26 | Train: -3.1079 | Val: -3.2055 | LR: 8.0e-05 | No-improve: 1
Epoch   27 | Train: -3.1155 | Val: -3.2249 | LR: 8.0e-05 | No-improve: 0
Epoch   28 | Train: -3.1178 | Val: -3.1902 | LR: 8.0e-05 | No-improve: 1
Epoch   29 | Train: -3.1183 | Val: -3.1658 | LR: 8.0e-05 | No-improve: 2
Epoch   30 | Train: -3.1251 | Val: -3.2260 | LR: 8.0e-05 | No-improve: 0
Epoch   31 | Train: -3.1229 | Val: -3.2208 | LR: 8.0e-05 | No-improve: 1
Epoch   32 | Train: -3.1286 | Val: -3.2341 | LR: 8.0e-05 | No-improve: 0
Epoch   33 | Train: -3.1335 | Val: -3.1753 | LR: 8.0e-05 | No-improve: 1
Epoch   34 | Train: -3.1316 | Val: -3.2094 | LR: 8.0e-05 | No-improve: 2
Epoch   35 | Train: -3.1381 | Val: -3.2148 | LR: 8.0e-05 | No-improve: 3
Epoch   36 | Train: -3.1413 | Val: -3.1681 | LR: 8.0e-05 | No-improve: 4
Epoch   37 | Train: -3.1355 | Val: -3.2159 | LR: 8.0e-05 | No-improve: 5
Epoch   38 | Train: -3.1421 | Val: -3.2223 | LR: 8.0e-05 | No-improve: 6
Epoch   39 | Train: -3.1410 | Val: -3.2520 | LR: 8.0e-05 | No-improve: 0
Epoch   40 | Train: -3.1451 | Val: -3.2453 | LR: 8.0e-05 | No-improve: 1
Epoch   41 | Train: -3.1428 | Val: -3.1633 | LR: 8.0e-05 | No-improve: 2
Epoch   42 | Train: -3.1407 | Val: -3.2349 | LR: 8.0e-05 | No-improve: 3
Epoch   43 | Train: -3.1491 | Val: -3.2344 | LR: 8.0e-05 | No-improve: 4
Epoch   44 | Train: -3.1521 | Val: -3.2514 | LR: 8.0e-05 | No-improve: 5
Epoch   45 | Train: -3.1530 | Val: -3.2501 | LR: 8.0e-05 | No-improve: 6
Epoch   46 | Train: -3.1493 | Val: -3.2032 | LR: 8.0e-05 | No-improve: 7
Epoch   47 | Train: -3.1576 | Val: -3.2176 | LR: 8.0e-05 | No-improve: 8
Epoch   48 | Train: -3.1559 | Val: -3.2479 | LR: 8.0e-05 | No-improve: 9
Epoch   49 | Train: -3.1585 | Val: -3.2560 | LR: 8.0e-05 | No-improve: 0
